Student_ID;Maths_%;Physical_Sciences_%;Life_Sciences_%;English_%;School_Quintile;Home_Language;Socio_Economic_Background;Average_School_Score;First_Semester_Average_%;Second_Semester_Average_%;Modules_Enrolled;Modules_Passed;Success_Rate_%;Risk_Category;Dropout_Risk_Flag;STEM_Average;Home_Language_Encoded;Socio_Economic_Background_Encoded;Risk_Category_Encoded
SMU202500042;67;74;44;82;1;English;Low Income Urban;66.8;66.4;64.0;9;9;100.0;Low Risk;0;61.7;0;2;0
SMU202500043;51;60;42;68;1;Sepedi;Middle Income Rural;55.2;59.7;63.9;10;7;70.0;Moderate Risk;1;51.0;1;3;1
SMU202500044;84;79;45;68;2;Sesotho;Low Income Urban;69.0;48.4;79.2;8;8;100.0;Low Risk;0;69.3;2;2;0
SMU202500045;83;69;82;75;4;English;Low Income Rural;77.2;73.5;60.5;12;12;100.0;Low Risk;0;78.0;0;1;0
SMU202500046;59;69;75;69;3;Xitsonga;High Income Urban;68.0;65.6;76.3;12;11;91.7;Low Risk;0;67.7;5;0;0
SMU202500047;75;53;46;48;5;isiZulu;Low Income Rural;55.5;58.8;67.5;10;8;80.0;Low Risk;0;58.0;6;1;0
SMU202500048;69;46;59;91;4;English;Middle Income Urban;66.2;81.8;72.6;8;8;100.0;Low Risk;0;58.0;0;4;0
SMU202500049;46;43;44;83;4;Tshivenda;Middle Income Rural;54.0;61.8;56.9;12;11;91.7;Low Risk;0;44.3;4;3;0
SMU202500050;92;36;39;68;5;Sesotho;Low Income Urban;58.8;63.7;71.9;8;8;100.0;Low Risk;0;55.7;2;2;0
SMU202500051;59;79;38;75;1;Sesotho;Low Income Rural;62.8;48.5;79.3;11;8;72.7;Moderate Risk;1;58.7;2;1;1
SMU202500052;53;73;37;84;2;Sepedi;Low Income Urban;61.8;75.5;73.5;11;8;72.7;Moderate Risk;1;54.3;1;2;1
SMU202500053;62;91;94;88;3;Sesotho;Low Income Urban;83.8;69.8;70.1;9;9;100.0;Low Risk;0;82.3;2;2;0
SMU202500054;70;69;53;59;1;Xitsonga;Low Income Urban;62.8;74.7;81.6;8;8;100.0;Low Risk;0;64.0;5;2;0
SMU202500055;91;45;46;49;5;isiZulu;High Income Urban;57.8;59.4;65.3;11;11;100.0;Low Risk;0;60.7;6;0;0
SMU202500056;42;92;94;89;2;isiZulu;Low Income Urban;79.2;69.9;84.1;10;9;90.0;Low Risk;0;76.0;6;2;0
SMU202500057;87;54;47;67;1;Setswana;Low Income Urban;63.8;64.2;72.4;12;8;66.7;Moderate Risk;1;62.7;3;2;1
SMU202500058;81;59;36;49;4;Sesotho;High Income Urban;56.2;66.1;66.5;12;10;83.3;Low Risk;0;58.7;2;0;0
SMU202500059;52;66;81;88;4;Xitsonga;Low Income Rural;71.8;69.1;71.1;10;10;100.0;Low Risk;0;66.3;5;1;0
SMU202500060;75;69;35;60;4;Xitsonga;Low Income Urban;59.8;78.1;70.5;12;9;75.0;Low Risk;0;59.7;5;2;0
SMU202500061;44;44;53;56;1;Xitsonga;Low Income Urban;49.2;56.7;60.4;10;6;60.0;Moderate Risk;1;47.0;5;2;1
SMU202500062;83;74;66;73;1;Sepedi;Low Income Rural;74.0;78.3;68.8;9;9;100.0;Low Risk;0;74.3;1;1;0
SMU202500063;84;46;35;93;1;Setswana;High Income Urban;64.5;61.8;88.7;8;8;100.0;Low Risk;0;55.0;3;0;0
SMU202500064;49;71;55;53;1;Tshivenda;Middle Income Urban;57.0;65.6;69.1;11;9;81.8;Low Risk;0;58.3;4;4;0
SMU202500065;64;49;61;90;2;Tshivenda;High Income Urban;66.0;63.0;79.6;8;8;100.0;Low Risk;0;58.0;4;0;0
SMU202500066;76;85;51;44;2;Xitsonga;Middle Income Urban;64.0;67.3;64.4;9;9;100.0;Low Risk;0;70.7;5;4;0
SMU202500067;47;77;77;87;3;English;Low Income Rural;72.0;69.4;61.0;10;8;80.0;Low Risk;0;67.0;0;1;0
SMU202500068;37;66;37;66;1;Sepedi;Middle Income Urban;51.5;58.1;62.2;10;7;70.0;Moderate Risk;1;46.7;1;4;1
SMU202500069;40;35;39;80;5;Xitsonga;Low Income Rural;48.5;64.1;67.3;9;6;66.7;Moderate Risk;1;38.0;5;1;1
SMU202500070;81;91;56;86;1;Sesotho;Low Income Rural;78.5;73.2;63.4;8;7;87.5;Low Risk;0;76.0;2;1;0
SMU202500071;69;86;49;86;3;Sepedi;Low Income Rural;72.5;61.5;51.0;11;9;81.8;Low Risk;0;68.0;1;1;0
SMU202500072;60;48;93;90;5;Tshivenda;Middle Income Urban;72.8;60.6;71.0;10;10;100.0;Low Risk;0;67.0;4;4;0
SMU202500073;72;69;85;54;4;isiZulu;Low Income Urban;70.0;76.5;70.8;9;9;100.0;Low Risk;0;75.3;6;2;0
SMU202500074;60;78;59;56;3;Sepedi;Low Income Rural;63.2;63.2;85.0;10;10;100.0;Low Risk;0;65.7;1;1;0
SMU202500075;56;68;81;47;3;Sepedi;Middle Income Urban;63.0;72.3;66.3;8;8;100.0;Low Risk;0;68.3;1;4;0
SMU202500076;93;90;93;84;5;Sesotho;Low Income Rural;90.0;65.4;66.1;12;12;100.0;Low Risk;0;92.0;2;1;0
SMU202500077;45;64;65;63;1;Setswana;Middle Income Rural;59.2;68.2;66.4;12;10;83.3;Low Risk;0;58.0;3;3;0
SMU202500078;40;88;83;69;3;Xitsonga;Low Income Urban;70.0;82.9;81.6;9;9;100.0;Low Risk;0;70.3;5;2;0
SMU202500079;79;78;39;45;4;isiZulu;High Income Urban;60.2;68.9;82.8;8;8;100.0;Low Risk;0;65.3;6;0;0
SMU202500080;60;48;72;76;5;Sesotho;Low Income Rural;64.0;52.7;78.4;10;10;100.0;Low Risk;0;60.0;2;1;0
SMU202500081;39;57;44;83;3;isiZulu;Low Income Urban;55.8;64.6;59.0;8;7;87.5;Low Risk;0;46.7;6;2;0
SMU202500082;89;69;64;70;4;isiZulu;High Income Urban;73.0;71.4;65.6;9;9;100.0;Low Risk;0;74.0;6;0;0
SMU202500083;68;46;69;74;4;isiZulu;High Income Urban;64.2;70.2;66.2;12;12;100.0;Low Risk;0;61.0;6;0;0
SMU202500084;94;64;69;60;2;Tshivenda;Low Income Urban;71.8;64.2;73.2;9;9;100.0;Low Risk;0;75.7;4;2;0
SMU202500085;59;52;74;47;2;Setswana;Low Income Rural;58.0;73.1;60.0;12;10;83.3;Low Risk;0;61.7;3;1;0
SMU202500086;67;59;51;72;3;Sesotho;Low Income Rural;62.2;47.2;79.0;10;10;100.0;Low Risk;0;59.0;2;1;0
SMU202500087;41;85;42;81;4;Sesotho;Low Income Urban;62.2;74.0;68.9;8;7;87.5;Low Risk;0;56.0;2;2;0
SMU202500088;72;91;67;76;1;isiZulu;Middle Income Urban;76.5;71.0;71.8;9;8;88.9;Low Risk;0;76.7;6;4;0
SMU202500089;88;72;47;70;2;isiZulu;Low Income Rural;69.2;57.7;91.6;12;9;75.0;Low Risk;0;69.0;6;1;0
SMU202500090;36;61;65;90;3;Setswana;Middle Income Urban;63.0;58.1;64.5;10;10;100.0;Low Risk;0;54.0;3;4;0
SMU202500091;74;72;40;47;2;Setswana;Low Income Rural;58.2;62.6;63.2;11;9;81.8;Low Risk;0;62.0;3;1;0
SMU202500092;46;78;70;87;5;English;Middle Income Urban;70.2;63.3;80.5;9;9;100.0;Low Risk;0;64.7;0;4;0
SMU202500093;88;85;63;53;5;English;High Income Urban;72.2;89.0;74.9;8;8;100.0;Low Risk;0;78.7;0;0;0
SMU202500094;81;43;87;48;4;Sepedi;Low Income Urban;64.8;64.8;60.9;8;8;100.0;Low Risk;0;70.3;1;2;0
SMU202500095;45;72;36;46;4;Xitsonga;Low Income Rural;49.8;68.4;54.4;10;8;80.0;Low Risk;0;51.0;5;1;0
SMU202500096;87;58;67;88;2;Sepedi;Middle Income Urban;75.0;68.0;57.5;11;10;90.9;Low Risk;0;70.7;1;4;0
SMU202500097;54;75;83;59;1;Sesotho;Low Income Rural;67.8;56.8;58.3;8;7;87.5;Low Risk;0;70.7;2;1;0
SMU202500098;57;85;93;58;2;Xitsonga;Low Income Rural;73.2;74.9;65.1;12;11;91.7;Low Risk;0;78.3;5;1;0
SMU202500099;52;35;48;90;3;isiZulu;Low Income Rural;56.2;74.9;50.3;8;8;100.0;Low Risk;0;45.0;6;1;0
SMU202500100;38;35;42;68;4;Sepedi;Low Income Urban;45.8;65.1;74.2;9;6;66.7;Moderate Risk;1;38.3;1;2;1
SMU202500101;57;89;62;71;3;Xitsonga;Middle Income Urban;69.8;61.6;63.4;8;8;100.0;Low Risk;0;69.3;5;4;0
SMU202500102;42;88;91;86;5;isiZulu;Middle Income Urban;76.8;78.8;74.1;9;9;100.0;Low Risk;0;73.7;6;4;0
SMU202500103;88;55;48;70;1;Sepedi;Low Income Rural;65.2;67.6;57.0;8;7;87.5;Low Risk;0;63.7;1;1;0
SMU202500104;36;35;81;44;2;Sepedi;Low Income Rural;49.0;51.3;70.6;10;6;60.0;Moderate Risk;1;50.7;1;1;1
SMU202500105;71;72;64;48;2;isiZulu;Low Income Rural;63.8;60.9;70.5;9;8;88.9;Low Risk;0;69.0;6;1;0
SMU202500106;64;90;93;85;1;Sepedi;Low Income Rural;83.0;80.4;69.5;10;10;100.0;Low Risk;0;82.3;1;1;0
SMU202500107;79;59;73;48;4;isiZulu;Low Income Urban;64.8;56.2;69.3;9;9;100.0;Low Risk;0;70.3;6;2;0
SMU202500108;71;45;40;57;4;Xitsonga;Low Income Rural;53.2;81.1;72.8;9;8;88.9;Low Risk;0;52.0;5;1;0
SMU202500109;46;57;87;81;2;English;Low Income Urban;67.8;78.9;80.5;10;8;80.0;Low Risk;0;63.3;0;2;0
SMU202500110;87;41;44;84;2;Tshivenda;Middle Income Rural;64.0;51.2;60.1;9;8;88.9;Low Risk;0;57.3;4;3;0
SMU202500111;77;35;85;92;2;Sesotho;Middle Income Urban;72.2;59.7;58.3;10;9;90.0;Low Risk;0;65.7;2;4;0
SMU202500112;93;73;74;74;2;Tshivenda;High Income Urban;78.5;54.1;69.2;12;12;100.0;Low Risk;0;80.0;4;0;0
SMU202500113;54;53;69;91;3;Sesotho;Low Income Urban;66.8;75.5;62.6;10;8;80.0;Low Risk;0;58.7;2;2;0
SMU202500114;43;43;74;56;4;Sepedi;Low Income Rural;54.0;70.8;62.6;8;6;75.0;Low Risk;0;53.3;1;1;0
SMU202500115;78;78;85;69;1;Sesotho;Low Income Urban;77.5;71.9;76.6;11;9;81.8;Low Risk;0;80.3;2;2;0
SMU202500116;81;46;50;63;3;Xitsonga;Middle Income Urban;60.0;73.0;72.0;12;10;83.3;Low Risk;0;59.0;5;4;0
SMU202500117;52;59;46;54;1;Sepedi;Middle Income Urban;52.8;54.8;87.6;9;8;88.9;Low Risk;0;52.3;1;4;0
SMU202500118;48;49;87;46;5;Sepedi;Low Income Rural;57.5;65.5;73.3;10;9;90.0;Low Risk;0;61.3;1;1;0
SMU202500119;86;73;69;57;3;Tshivenda;Low Income Rural;71.2;59.6;90.4;10;10;100.0;Low Risk;0;76.0;4;1;0
SMU202500120;71;77;74;65;1;English;Middle Income Urban;71.8;83.0;72.6;8;7;87.5;Low Risk;0;74.0;0;4;0
SMU202500121;52;67;50;84;2;English;Middle Income Urban;63.2;66.9;76.7;10;10;100.0;Low Risk;0;56.3;0;4;0
SMU202500122;93;73;80;91;1;Tshivenda;Low Income Urban;84.2;88.0;64.0;12;12;100.0;Low Risk;0;82.0;4;2;0
SMU202500123;91;44;64;64;3;Xitsonga;Low Income Rural;65.8;63.5;61.4;8;8;100.0;Low Risk;0;66.3;5;1;0
SMU202500124;84;38;52;76;1;Tshivenda;Low Income Urban;62.5;63.1;60.0;8;8;100.0;Low Risk;0;58.0;4;2;0
SMU202500125;92;71;71;82;5;English;Middle Income Urban;79.0;68.2;71.4;10;10;100.0;Low Risk;0;78.0;0;4;0
SMU202500126;88;87;85;84;1;Xitsonga;Low Income Urban;86.0;71.1;73.5;9;9;100.0;Low Risk;0;86.7;5;2;0
SMU202500127;81;57;83;48;5;Sesotho;High Income Urban;67.2;79.6;65.7;10;10;100.0;Low Risk;0;73.7;2;0;0
SMU202500128;51;58;37;71;3;Sesotho;Low Income Rural;54.2;77.1;81.1;8;7;87.5;Low Risk;0;48.7;2;1;0
SMU202500129;45;75;90;42;3;Setswana;Low Income Urban;63.0;70.0;66.3;8;8;100.0;Low Risk;0;70.0;3;2;0
SMU202500130;93;68;58;54;3;Sepedi;Low Income Urban;68.2;62.3;70.2;9;8;88.9;Low Risk;0;73.0;1;2;0
SMU202500131;84;74;79;71;5;Setswana;Low Income Rural;77.0;76.6;70.9;9;9;100.0;Low Risk;0;79.0;3;1;0
SMU202500132;40;58;53;55;4;Setswana;Middle Income Urban;51.5;56.5;61.9;8;7;87.5;Low Risk;0;50.3;3;4;0
SMU202500133;76;70;61;77;5;Sesotho;Low Income Urban;71.0;75.8;68.7;9;9;100.0;Low Risk;0;69.0;2;2;0
SMU202500134;44;66;77;92;1;isiZulu;Middle Income Urban;69.8;66.7;78.7;9;9;100.0;Low Risk;0;62.3;6;4;0
SMU202500135;36;66;47;85;3;English;Low Income Rural;58.5;70.3;84.5;9;9;100.0;Low Risk;0;49.7;0;1;0
SMU202500136;82;40;53;69;2;Sepedi;Low Income Urban;61.0;70.2;68.8;11;8;72.7;Moderate Risk;1;58.3;1;2;1
SMU202500137;56;38;54;71;5;Xitsonga;Middle Income Urban;54.8;67.6;63.0;11;9;81.8;Low Risk;0;49.3;5;4;0
SMU202500138;56;60;90;57;5;Sesotho;Middle Income Rural;65.8;62.9;72.4;11;10;90.9;Low Risk;0;68.7;2;3;0
SMU202500139;46;41;63;50;2;Setswana;Middle Income Rural;50.0;60.2;81.6;10;8;80.0;Low Risk;0;50.0;3;3;0
SMU202500140;68;63;38;56;4;English;Low Income Urban;56.2;57.5;73.3;12;10;83.3;Low Risk;0;56.3;0;2;0
SMU202500141;81;48;54;61;4;Tshivenda;Low Income Urban;61.0;51.3;63.6;11;10;90.9;Low Risk;0;61.0;4;2;0
SMU202500142;94;72;49;73;1;Xitsonga;Low Income Urban;72.0;56.7;88.5;11;11;100.0;Low Risk;0;71.7;5;2;0
SMU202500143;42;94;80;64;4;English;Middle Income Rural;70.0;71.1;74.3;10;10;100.0;Low Risk;0;72.0;0;3;0
SMU202500144;63;78;87;63;3;Tshivenda;High Income Urban;72.8;56.6;74.8;8;8;100.0;Low Risk;0;76.0;4;0;0
SMU202500145;72;82;91;61;2;Setswana;Middle Income Urban;76.5;66.6;60.1;12;12;100.0;Low Risk;0;81.7;3;4;0
SMU202500146;52;80;81;70;3;Xitsonga;Middle Income Urban;70.8;74.9;76.1;8;8;100.0;Low Risk;0;71.0;5;4;0
SMU202500147;51;46;91;85;3;Tshivenda;Low Income Urban;68.2;70.6;82.7;11;10;90.9;Low Risk;0;62.7;4;2;0
SMU202500148;94;67;36;72;2;Xitsonga;Low Income Urban;67.2;64.5;62.1;12;10;83.3;Low Risk;0;65.7;5;2;0
SMU202500149;72;73;60;85;4;Sepedi;Middle Income Urban;72.5;70.2;63.6;11;11;100.0;Low Risk;0;68.3;1;4;0
SMU202500150;93;40;43;45;3;Xitsonga;Middle Income Urban;55.2;75.9;72.3;9;9;100.0;Low Risk;0;58.7;5;4;0
SMU202500151;93;41;45;59;3;Tshivenda;Middle Income Urban;59.5;61.6;68.1;9;9;100.0;Low Risk;0;59.7;4;4;0
SMU202500152;48;45;52;93;3;Xitsonga;Middle Income Urban;59.5;53.8;76.7;12;10;83.3;Low Risk;0;48.3;5;4;0
SMU202500153;70;79;42;68;3;Setswana;Middle Income Urban;64.8;80.6;72.3;11;10;90.9;Low Risk;0;63.7;3;4;0
SMU202500154;71;66;90;80;1;Setswana;Low Income Rural;76.8;62.9;56.9;10;10;100.0;Low Risk;0;75.7;3;1;0
SMU202500155;67;41;46;88;4;Sesotho;Middle Income Rural;60.5;77.5;74.5;11;10;90.9;Low Risk;0;51.3;2;3;0
SMU202500156;54;94;58;89;3;isiZulu;Middle Income Rural;73.8;66.5;83.6;9;9;100.0;Low Risk;0;68.7;6;3;0
SMU202500157;49;68;70;45;5;Sepedi;Middle Income Urban;58.0;71.2;58.9;12;10;83.3;Low Risk;0;62.3;1;4;0
SMU202500158;49;67;69;65;5;English;Middle Income Urban;62.5;69.9;67.0;9;9;100.0;Low Risk;0;61.7;0;4;0
SMU202500159;75;88;94;86;3;isiZulu;Middle Income Urban;85.8;71.0;65.2;9;9;100.0;Low Risk;0;85.7;6;4;0
SMU202500160;91;62;36;74;2;isiZulu;Middle Income Urban;65.8;66.1;72.3;11;11;100.0;Low Risk;0;63.0;6;4;0
SMU202500161;44;37;88;53;2;isiZulu;Low Income Rural;55.5;52.0;63.0;8;8;100.0;Low Risk;0;56.3;6;1;0
SMU202500162;46;35;91;93;1;Sesotho;Low Income Urban;66.2;77.4;68.8;12;11;91.7;Low Risk;0;57.3;2;2;0
SMU202500163;49;40;78;59;1;English;Low Income Urban;56.5;63.4;58.2;12;7;58.3;Moderate Risk;1;55.7;0;2;1
SMU202500164;93;39;67;88;3;isiZulu;Middle Income Urban;71.8;83.2;67.8;12;12;100.0;Low Risk;0;66.3;6;4;0
SMU202500165;68;59;84;68;2;English;Middle Income Rural;69.8;83.3;67.5;10;10;100.0;Low Risk;0;70.3;0;3;0
SMU202500166;79;86;50;89;3;Sepedi;Low Income Urban;76.0;69.4;64.0;12;12;100.0;Low Risk;0;71.7;1;2;0
SMU202500167;39;81;56;86;4;Sepedi;Middle Income Urban;65.5;67.0;85.3;10;9;90.0;Low Risk;0;58.7;1;4;0
SMU202500168;60;42;81;79;1;Xitsonga;Middle Income Urban;65.5;57.4;73.4;11;10;90.9;Low Risk;0;61.0;5;4;0
SMU202500169;87;82;39;80;3;Sepedi;Low Income Urban;72.0;64.1;70.4;8;8;100.0;Low Risk;0;69.3;1;2;0
SMU202500170;75;45;38;73;2;Tshivenda;Low Income Rural;57.8;69.5;72.3;10;7;70.0;Moderate Risk;1;52.7;4;1;1
SMU202500171;57;53;79;50;2;English;Low Income Rural;59.8;73.7;55.2;8;7;87.5;Low Risk;0;63.0;0;1;0
SMU202500172;41;49;55;58;2;Xitsonga;Low Income Rural;50.8;61.6;65.7;8;7;87.5;Low Risk;0;48.3;5;1;0
SMU202500173;69;42;80;53;2;Setswana;Middle Income Urban;61.0;66.5;77.0;12;10;83.3;Low Risk;0;63.7;3;4;0
SMU202500174;62;87;63;65;1;Sesotho;Low Income Urban;69.2;46.4;63.5;11;10;90.9;Low Risk;0;70.7;2;2;0
SMU202500175;40;80;84;83;1;English;High Income Urban;71.8;65.1;72.2;10;10;100.0;Low Risk;0;68.0;0;0;0
SMU202500176;85;49;38;60;1;Tshivenda;Low Income Rural;58.0;68.0;85.1;12;8;66.7;Moderate Risk;1;57.3;4;1;1
SMU202500177;61;63;81;67;2;isiZulu;Low Income Rural;68.0;68.2;67.2;9;8;88.9;Low Risk;0;68.3;6;1;0
SMU202500178;59;64;45;46;1;Sesotho;Middle Income Urban;53.5;52.1;70.4;8;7;87.5;Low Risk;0;56.0;2;4;0
SMU202500179;41;88;35;83;3;Setswana;Low Income Urban;61.8;75.4;70.8;12;10;83.3;Low Risk;0;54.7;3;2;0
SMU202500180;62;43;60;48;1;Xitsonga;Middle Income Urban;53.2;66.2;68.9;12;8;66.7;Moderate Risk;1;55.0;5;4;1
SMU202500181;60;61;71;43;4;isiZulu;Low Income Urban;58.8;70.6;73.3;9;8;88.9;Low Risk;0;64.0;6;2;0
SMU202500182;67;89;84;44;4;Sepedi;Low Income Urban;71.0;65.6;68.1;8;8;100.0;Low Risk;0;80.0;1;2;0
SMU202500183;49;69;62;46;2;Tshivenda;Low Income Rural;56.5;63.8;87.2;12;8;66.7;Moderate Risk;1;60.0;4;1;1
SMU202500184;69;41;55;57;2;English;Low Income Rural;55.5;69.0;79.5;8;8;100.0;Low Risk;0;55.0;0;1;0
SMU202500185;79;80;70;79;3;Xitsonga;Middle Income Urban;77.0;62.8;60.2;8;8;100.0;Low Risk;0;76.3;5;4;0
SMU202500186;83;94;36;44;3;Tshivenda;Low Income Urban;64.2;57.3;73.9;9;8;88.9;Low Risk;0;71.0;4;2;0
SMU202500187;37;56;40;41;3;Xitsonga;High Income Urban;43.5;63.0;80.9;10;8;80.0;Low Risk;0;44.3;5;0;0
SMU202500188;78;92;70;44;3;Xitsonga;Low Income Urban;71.0;65.8;61.5;9;8;88.9;Low Risk;0;80.0;5;2;0
SMU202500189;50;46;42;59;2;English;Low Income Rural;49.2;70.7;71.9;11;6;54.5;Moderate Risk;1;46.0;0;1;1
SMU202500190;91;64;55;59;1;English;Middle Income Urban;67.2;67.5;88.0;8;8;100.0;Low Risk;0;70.0;0;4;0
SMU202500191;48;70;67;62;2;Sesotho;Low Income Urban;61.8;66.1;73.0;9;9;100.0;Low Risk;0;61.7;2;2;0
SMU202500192;37;86;57;65;3;Setswana;Middle Income Urban;61.2;79.9;83.6;10;9;90.0;Low Risk;0;60.0;3;4;0
SMU202500193;46;81;83;81;3;Tshivenda;Low Income Rural;72.8;68.7;71.1;9;9;100.0;Low Risk;0;70.0;4;1;0
SMU202500194;86;48;43;54;1;Sepedi;Low Income Rural;57.8;64.5;66.2;10;7;70.0;Moderate Risk;1;59.0;1;1;1
SMU202500195;59;36;59;93;3;Xitsonga;Low Income Rural;61.8;67.8;66.6;12;10;83.3;Low Risk;0;51.3;5;1;0
SMU202500196;59;47;87;73;1;Xitsonga;Low Income Urban;66.5;67.4;59.7;11;10;90.9;Low Risk;0;64.3;5;2;0
SMU202500197;48;54;52;68;3;Sesotho;Low Income Urban;55.5;77.4;76.9;10;9;90.0;Low Risk;0;51.3;2;2;0
